date,season,holiday,working_day,weather,temperature_c,feels_like_c,humidity_pct,windspeed_kph,rentals
2011-03-27,summer,no,no,misty,10.4,12.5,49.4,12.3,1693
2011-03-28,summer,no,yes,clear,10.8,12.9,30.2,14.2,2028
2011-03-29,summer,no,yes,clear,12.4,14.6,31.4,15.2,2425
2011-03-30,summer,no,yes,misty,12.3,14.9,64.7,11.6,1536
2011-03-31,summer,no,yes,light rain or snow,11.0,12.9,91.8,14.6,1685
2011-04-01,summer,no,yes,misty,12.3,14.2,68.6,17.3,2227
2011-04-02,summer,no,no,misty,12.9,15.8,65.4,13.2,2252
2011-04-03,summer,no,no,clear,15.5,18.9,48.0,12.2,3249
2011-04-04,summer,no,yes,clear,23.5,27.1,42.6,25.8,3115
2011-04-05,summer,no,yes,misty,17.0,19.9,64.2,26.0,1795
2011-04-06,summer,no,yes,clear,16.0,19.4,47.1,17.6,2808
2011-04-07,summer,no,yes,clear,17.9,21.7,60.3,10.9,3141
2011-04-08,summer,no,yes,misty,13.8,16.2,83.6,15.2,1471
2011-04-09,summer,no,no,misty,14.0,17.1,87.8,8.9,2455
2011-04-10,summer,no,no,misty,17.5,21.3,85.8,9.8,2895
2011-04-11,summer,no,yes,misty,24.4,28.3,71.7,21.7,3348
2011-04-12,summer,no,yes,misty,20.6,24.7,73.9,18.4,2034
2011-04-13,summer,no,yes,misty,16.9,20.9,81.9,16.8,2162
2011-04-14,summer,no,yes,clear,19.2,23.1,54.0,7.4,3267
2011-04-15,summer,yes,no,clear,18.3,22.1,67.1,15.2,3126
2011-04-16,summer,no,no,light rain or snow,17.7,21.3,88.8,22.8,795
2011-04-17,summer,no,no,clear,18.7,22.3,48.0,20.3,3744
2011-04-18,summer,no,yes,clear,21.0,25.2,54.2,11.0,3429
2011-04-19,summer,no,yes,misty,20.7,24.5,66.6,10.6,3204
2011-04-20,summer,no,yes,clear,24.4,28.2,61.4,16.2,3944
2011-04-21,summer,no,yes,clear,18.8,22.7,40.7,21.8,4189
2011-04-22,summer,no,yes,misty,13.8,16.1,73.0,14.7,1683
2011-04-23,summer,no,no,misty,18.9,22.5,88.8,15.5,4036
2011-04-24,summer,no,no,misty,23.8,27.6,81.1,12.9,4191
2011-04-25,summer,no,yes,clear,24.9,28.7,77.7,12.4,4073
2011-04-26,summer,no,yes,clear,25.9,29.7,72.9,21.9,4400
2011-04-27,summer,no,yes,misty,25.4,28.8,83.5,20.9,3872
2011-04-28,summer,no,yes,misty,25.3,28.9,70.1,21.5,4058
2011-04-29,summer,no,yes,clear,20.9,24.9,45.7,16.1,4595
2011-04-30,summer,no,no,clear,19.4,23.2,50.3,15.8,5312
2011-05-01,summer,no,no,misty,18.5,22.4,76.2,7.1,3351
2011-05-02,summer,no,yes,misty,22.5,26.6,73.0,12.3,4401
2011-05-03,summer,no,yes,misty,25.3,29.1,69.7,23.0,4451
2011-05-04,summer,no,yes,misty,17.0,20.2,73.7,22.0,2633
2011-05-05,summer,no,yes,clear,18.8,22.1,44.4,19.8,4433
2011-05-06,summer,no,yes,clear,19.6,23.7,59.0,15.3,4608
2011-05-07,summer,no,no,clear,21.3,25.6,54.1,10.8,4714
2011-05-08,summer,no,no,clear,21.7,25.9,63.2,5.0,4333
2011-05-09,summer,no,yes,clear,21.8,26.3,58.9,11.8,4362
2011-05-10,summer,no,yes,clear,21.8,26.1,48.9,7.7,4803
2011-05-11,summer,no,yes,clear,22.2,26.4,63.3,8.1,4182
2011-05-12,summer,no,yes,clear,21.9,26.2,74.8,12.7,4864
2011-05-13,summer,no,yes,misty,21.0,24.7,86.3,12.0,4105
2011-05-14,summer,no,no,misty,21.4,25.0,92.2,9.0,3409
2011-05-15,summer,no,no,misty,23.1,26.8,86.7,10.2,4553
2011-05-16,summer,no,yes,clear,23.7,27.5,78.8,8.5,3958
2011-05-17,summer,no,yes,misty,23.0,26.9,83.8,18.6,4123
2011-05-18,summer,no,yes,misty,22.6,26.4,87.0,13.5,3855
2011-05-19,summer,no,yes,misty,21.8,25.5,83.0,7.3,4575
2011-05-20,summer,no,yes,clear,22.0,26.5,72.0,8.4,4917
2011-05-21,summer,no,no,clear,24.7,28.6,62.7,8.1,5805
2011-05-22,summer,no,no,clear,24.8,28.7,75.0,9.9,4660
2011-05-23,summer,no,yes,misty,25.9,29.5,81.0,15.7,4274
2011-05-24,summer,no,yes,misty,27.1,30.2,74.1,13.9,4492
2011-05-25,summer,no,yes,clear,27.1,30.8,69.6,10.3,4978
2011-05-26,summer,no,yes,clear,29.0,32.7,67.8,13.4,4677
2011-05-27,summer,no,yes,clear,27.9,31.9,65.4,16.1,4679
2011-05-28,summer,no,no,clear,26.9,30.6,73.0,15.4,4758
2011-05-29,summer,no,no,clear,27.4,30.8,81.9,14.3,4788
2011-05-30,summer,yes,no,clear,30.1,33.6,68.5,8.8,4098
2011-05-31,summer,no,yes,clear,31.8,36.3,63.7,7.5,3982
2011-06-01,summer,no,yes,misty,31.3,36.0,67.7,13.9,3974
2011-06-02,summer,no,yes,clear,29.3,32.2,30.5,19.6,4968
2011-06-03,summer,no,yes,clear,25.4,29.4,35.4,17.0,5312
2011-06-04,summer,no,no,clear,26.0,29.7,45.6,8.3,5342
2011-06-05,summer,no,no,misty,26.6,30.8,65.2,9.3,4906
2011-06-06,summer,no,yes,clear,27.8,31.1,60.0,8.2,4548
2011-06-07,summer,no,yes,clear,29.0,32.8,59.8,12.6,4833
2011-06-08,summer,no,yes,clear,31.8,36.4,62.2,9.2,4401
2011-06-09,summer,no,yes,misty,33.1,37.9,56.8,10.0,3915
2011-06-10,summer,no,yes,clear,31.0,35.2,60.5,9.4,4586
2011-06-11,summer,no,no,clear,29.7,33.9,65.5,10.4,4966
2011-06-12,summer,no,no,clear,28.4,32.2,74.8,11.0,4460
2011-06-13,summer,no,yes,clear,26.0,30.1,49.5,20.5,5020
2011-06-14,summer,no,yes,clear,24.8,29.6,50.7,18.0,4891
2011-06-15,summer,no,yes,clear,25.7,29.4,47.2,11.3,5180
2011-06-16,summer,no,yes,misty,25.8,29.8,68.8,13.8,3767
2011-06-17,summer,no,yes,clear,26.6,30.0,73.6,9.6,4844
2011-06-18,summer,no,no,clear,28.6,32.2,67.0,8.0,5119
2011-06-19,summer,no,no,misty,28.7,32.3,66.7,6.8,4744
2011-06-20,summer,no,yes,misty,26.0,29.8,74.6,10.4,4010
2011-06-21,fall,no,yes,misty,27.9,31.9,77.0,11.5,4835
2011-06-22,fall,no,yes,clear,30.1,34.7,70.8,11.5,4507
2011-06-23,fall,no,yes,misty,29.9,34.7,70.3,16.0,4790
2011-06-24,fall,no,yes,clear,29.7,32.8,57.3,14.9,4991
2011-06-25,fall,no,no,clear,28.5,32.2,48.3,14.0,5202
2011-06-26,fall,no,no,clear,27.9,31.9,51.3,6.3,5305
2011-06-27,fall,no,yes,misty,28.0,31.9,65.8,7.2,4708
2011-06-28,fall,no,yes,clear,30.5,34.6,63.4,9.7,4648
2011-06-29,fall,no,yes,clear,29.9,32.7,49.8,17.5,5225
2011-06-30,fall,no,yes,clear,28.6,31.9,43.4,12.4,5515
2011-07-01,fall,no,yes,clear,29.6,32.6,39.6,6.9,5362
2011-07-02,fall,no,no,clear,30.3,33.4,44.5,7.7,5119
2011-07-03,fall,no,no,misty,29.4,33.4,68.2,15.3,4649
2011-07-04,fall,yes,no,misty,29.8,33.3,63.8,5.5,6043
2011-07-05,fall,no,yes,clear,30.6,34.8,59.0,8.5,4665
2011-07-06,fall,no,yes,clear,29.5,34.3,74.3,10.0,4629
2011-07-07,fall,no,yes,clear,30.8,34.3,65.1,10.7,4592
2011-07-08,fall,no,yes,misty,29.1,33.5,75.8,15.1,4040
2011-07-09,fall,no,no,clear,30.1,33.2,60.9,11.3,5336
2011-07-10,fall,no,no,clear,30.6,34.5,57.8,12.3,4881
2011-07-11,fall,no,yes,clear,31.3,36.5,63.6,18.9,4086
2011-07-12,fall,no,yes,clear,32.6,37.0,55.9,13.4,4258
2011-07-13,fall,no,yes,clear,30.6,34.5,63.2,9.8,4342
2011-07-14,fall,no,yes,clear,27.9,31.8,47.6,16.1,5084
2011-07-15,fall,no,yes,clear,27.2,31.2,59.1,12.2,5538
2011-07-16,fall,no,no,clear,28.2,31.9,58.5,14.0,5923
2011-07-17,fall,no,no,clear,29.5,33.5,60.4,16.4,5302
2011-07-18,fall,no,yes,clear,30.6,35.2,65.1,14.5,4458
2011-07-19,fall,no,yes,clear,31.8,37.4,65.0,8.8,4541
2011-07-20,fall,no,yes,clear,31.5,37.3,70.7,7.6,4332
2011-07-21,fall,no,yes,misty,33.4,41.3,69.1,14.9,3784
2011-07-22,fall,no,yes,clear,34.8,42.0,58.0,8.9,3387
2011-07-23,fall,no,no,clear,34.8,40.2,50.0,8.8,3285
2011-07-24,fall,no,no,clear,34.0,39.7,55.1,11.3,3606
2011-07-25,fall,no,yes,clear,30.5,36.0,75.7,6.1,3840
2011-07-26,fall,no,yes,clear,31.6,34.8,54.1,13.4,4590
2011-07-27,fall,no,yes,clear,31.8,34.5,40.3,12.3,4656
2011-07-28,fall,no,yes,clear,31.9,37.0,58.3,12.0,4390
2011-07-29,fall,no,yes,clear,34.4,39.3,54.2,11.7,3846
2011-07-30,fall,no,no,clear,33.0,36.4,46.6,11.3,4475
2011-07-31,fall,no,no,clear,33.0,36.5,48.1,11.0,4302
2011-08-01,fall,no,yes,clear,31.6,35.2,55.1,10.5,4266
2011-08-02,fall,no,yes,clear,32.1,35.4,49.1,13.8,4845
2011-08-03,fall,no,yes,misty,30.0,34.0,65.8,9.1,3574
2011-08-04,fall,no,yes,misty,29.1,33.2,75.8,13.2,4576
2011-08-05,fall,no,yes,clear,29.1,32.8,63.1,12.4,4866
2011-08-06,fall,no,no,misty,29.4,33.8,75.5,15.3,4294
2011-08-07,fall,no,no,clear,30.4,35.8,75.3,13.5,3785
2011-08-08,fall,no,yes,clear,31.4,35.2,59.2,12.9,4326
2011-08-09,fall,no,yes,clear,31.8,36.2,57.0,10.1,4602
2011-08-10,fall,no,yes,clear,31.4,34.2,42.4,13.4,4780
2011-08-11,fall,no,yes,clear,29.4,32.6,42.4,11.0,4792
2011-08-12,fall,no,yes,clear,29.0,32.7,41.5,8.4,4905
2011-08-13,fall,no,no,misty,28.1,32.3,73.0,14.2,4150
2011-08-14,fall,no,no,misty,27.7,31.2,81.8,14.9,3820
2011-08-15,fall,no,yes,clear,27.3,30.8,71.2,14.0,4338
2011-08-16,fall,no,yes,clear,28.7,32.3,57.8,15.8,4725
2011-08-17,fall,no,yes,clear,29.7,33.3,57.5,9.6,4694
2011-08-18,fall,no,yes,clear,29.2,33.1,65.5,15.6,3805
2011-08-19,fall,no,yes,misty,28.1,31.7,72.3,9.3,4153
2011-08-20,fall,no,no,clear,28.6,32.4,67.4,7.0,5191
2011-08-21,fall,no,no,clear,29.1,33.8,77.0,16.7,3873
2011-08-22,fall,no,yes,clear,28.4,31.9,47.0,18.5,4758
2011-08-23,fall,no,yes,clear,26.3,30.3,45.5,9.8,5895
2011-08-24,fall,no,yes,clear,27.6,31.5,60.5,17.0,5130
2011-08-25,fall,no,yes,misty,28.1,32.3,77.2,14.1,3542
2011-08-26,fall,no,yes,clear,28.7,33.0,76.1,5.6,4661
2011-08-27,fall,no,no,misty,27.9,31.8,85.0,25.2,1115
2011-08-28,fall,no,no,clear,29.0,32.4,56.2,20.4,4334
2011-08-29,fall,no,yes,clear,26.1,30.4,55.5,10.7,4634
2011-08-30,fall,no,yes,clear,26.2,29.7,54.8,8.4,5204
2011-08-31,fall,no,yes,clear,26.9,30.6,59.8,5.6,5058
2011-09-01,fall,no,yes,clear,26.9,30.7,63.9,9.5,5115
2011-09-02,fall,no,yes,misty,26.4,30.2,72.7,9.4,4727
2011-09-03,fall,no,no,clear,27.4,31.7,71.7,12.4,4484
2011-09-04,fall,no,no,clear,29.1,33.3,74.2,13.8,4940
2011-09-05,fall,yes,no,misty,27.6,31.3,79.0,14.3,3351
2011-09-06,fall,no,yes,light rain or snow,22.1,25.8,88.7,23.0,2710
2011-09-07,fall,no,yes,light rain or snow,24.6,27.2,91.7,6.5,1996
2011-09-08,fall,no,yes,light rain or snow,26.0,27.8,94.0,12.9,1842
2011-09-09,fall,no,yes,misty,26.6,28.9,89.8,8.3,3544
2011-09-10,fall,no,no,clear,27.1,30.4,75.4,10.3,5345
2011-09-11,fall,no,no,clear,26.8,30.5,71.4,7.7,5046
2011-09-12,fall,no,yes,clear,26.4,30.1,69.2,6.0,4713
2011-09-13,fall,no,yes,clear,26.7,30.2,71.2,9.5,4763
2011-09-14,fall,no,yes,clear,27.6,31.3,69.7,11.2,4785
2011-09-15,fall,no,yes,misty,23.7,27.7,70.9,18.2,3659
2011-09-16,fall,no,yes,misty,19.2,23.1,59.0,11.0,4760
2011-09-17,fall,no,no,misty,20.2,23.9,71.8,12.7,4511
2011-09-18,fall,no,no,clear,20.8,24.5,69.5,12.0,4274
2011-09-19,fall,no,yes,misty,22.5,26.5,69.0,10.2,4539
2011-09-20,fall,no,yes,misty,23.0,26.6,88.1,9.0,3641
2011-09-21,fall,no,yes,misty,24.4,27.5,90.0,6.5,4352
2011-09-22,fall,no,yes,misty,25.8,27.7,90.2,8.6,4795
2011-09-23,winter,no,yes,misty,25.0,26.1,97.2,5.3,2395
2011-09-24,winter,no,no,misty,24.9,28.2,86.2,5.3,5423
2011-09-25,winter,no,no,misty,26.0,28.6,84.5,3.4,5010
2011-09-26,winter,no,yes,misty,26.6,29.5,84.8,7.4,4630
2011-09-27,winter,no,yes,misty,26.1,28.7,88.5,7.9,4120
2011-09-28,winter,no,yes,misty,26.0,28.8,84.9,10.0,3907
2011-09-29,winter,no,yes,clear,25.3,28.7,69.9,11.6,4839
2011-09-30,winter,no,yes,clear,23.1,27.2,64.8,13.8,5202
2011-10-01,winter,no,no,misty,16.8,20.6,75.4,19.6,2429
2011-10-02,winter,no,no,misty,14.6,17.3,79.2,14.9,2918
2011-10-03,winter,no,yes,misty,15.8,19.6,76.1,5.6,3570
2011-10-04,winter,no,yes,clear,19.9,23.6,71.0,13.8,4456
2011-10-05,winter,no,yes,clear,22.1,26.4,64.8,11.9,4826
2011-10-06,winter,no,yes,clear,20.3,24.0,62.1,9.0,4765
2011-10-07,winter,no,yes,clear,20.9,25.2,68.4,1.5,4985
2011-10-08,winter,no,no,clear,21.4,25.7,70.1,3.0,5409
2011-10-09,winter,no,no,clear,22.2,26.2,72.8,4.3,5511
2011-10-10,winter,yes,no,clear,23.4,27.1,73.4,2.8,5117
2011-10-11,winter,no,yes,misty,23.2,27.3,80.9,9.6,4563
2011-10-12,winter,no,yes,light rain or snow,22.3,25.9,90.6,16.6,2416
2011-10-13,winter,no,yes,misty,24.2,27.6,89.7,9.5,2913
2011-10-14,winter,no,yes,misty,22.6,26.5,71.6,15.0,3644
2011-10-15,winter,no,no,clear,20.8,24.9,48.3,17.3,5217
2011-10-16,winter,no,no,clear,21.0,25.2,48.7,18.9,5041
2011-10-17,winter,no,yes,clear,21.9,25.5,58.0,11.8,4570
2011-10-18,winter,no,yes,misty,21.8,26.1,70.2,7.4,4748
2011-10-19,winter,no,yes,light rain or snow,22.2,25.7,89.5,16.3,2424
2011-10-20,winter,no,yes,clear,19.5,23.3,63.6,28.3,4195
2011-10-21,winter,no,yes,clear,17.5,21.2,57.4,14.8,4304
2011-10-22,winter,no,no,clear,17.3,21.3,62.9,6.2,4308
2011-10-23,winter,no,no,clear,17.3,21.1,74.1,6.7,4381
2011-10-24,winter,no,yes,clear,19.0,22.9,77.2,8.0,4187
2011-10-25,winter,no,yes,clear,19.3,23.2,62.3,11.2,4687
2011-10-26,winter,no,yes,misty,19.9,23.6,72.0,10.0,3894
2011-10-27,winter,no,yes,misty,19.3,22.9,81.3,13.3,2659
2011-10-28,winter,no,yes,misty,13.6,15.9,58.6,15.4,3747
2011-10-29,winter,no,no,light rain or snow,10.4,11.4,88.2,23.5,627
2011-10-30,winter,no,no,clear,13.1,16.1,62.4,11.8,3331
2011-10-31,winter,no,yes,clear,13.9,17.8,70.3,7.1,3669
2011-11-01,winter,no,yes,clear,16.4,19.9,68.4,9.1,4068
2011-11-02,winter,no,yes,clear,15.5,19.5,71.9,5.5,4186
2011-11-03,winter,no,yes,clear,16.7,20.3,70.2,9.2,3974
2011-11-04,winter,no,yes,misty,16.5,20.2,62.3,18.2,4046
2011-11-05,winter,no,no,clear,13.4,16.2,51.9,12.7,3926
2011-11-06,winter,no,no,clear,14.3,18.1,73.5,6.2,3649
2011-11-07,winter,no,yes,clear,16.2,20.0,75.9,3.8,4035
2011-11-08,winter,no,yes,clear,16.7,20.6,72.2,4.6,4205
2011-11-09,winter,no,yes,clear,16.4,20.5,75.8,4.2,4109
2011-11-10,winter,no,yes,misty,15.6,18.7,81.3,12.7,2933
2011-11-11,winter,yes,no,clear,13.3,15.3,44.6,21.1,3368
2011-11-12,winter,no,no,clear,14.6,17.9,55.3,14.2,4067
2011-11-13,winter,no,no,clear,18.1,21.5,45.8,18.9,3717
2011-11-14,winter,no,yes,clear,21.7,26.2,58.7,20.5,4486
2011-11-15,winter,no,yes,misty,21.7,25.4,68.9,13.4,4195
2011-11-16,winter,no,yes,light rain or snow,18.7,22.6,93.0,9.2,1817
2011-11-17,winter,no,yes,misty,14.0,16.2,57.6,20.5,3053
2011-11-18,winter,no,yes,clear,11.2,13.6,41.0,11.3,3392
2011-11-19,winter,no,no,clear,13.5,16.2,50.2,15.0,3663
2011-11-20,winter,no,no,misty,19.0,22.9,68.5,12.5,3520
2011-11-21,winter,no,yes,light rain or snow,18.3,22.3,91.0,9.2,2765
2011-11-22,winter,no,yes,light rain or snow,17.1,21.1,96.2,8.0,1607
2011-11-23,winter,no,yes,misty,18.1,21.5,75.8,22.5,2566
2011-11-24,winter,yes,no,clear,15.3,18.6,54.9,11.2,1495
2011-11-25,winter,no,yes,clear,15.4,19.0,64.4,6.6,2792
2011-11-26,winter,no,no,clear,15.4,19.3,68.2,4.6,3068
2011-11-27,winter,no,no,clear,18.8,22.8,69.8,14.0,3071
2011-11-28,winter,no,yes,clear,20.6,24.5,74.3,9.5,3867
2011-11-29,winter,no,yes,misty,18.8,22.6,83.1,17.3,2914
2011-11-30,winter,no,yes,clear,13.3,15.6,61.3,18.2,3613
2011-12-01,winter,no,yes,clear,12.8,15.3,52.5,14.8,3727
2011-12-02,winter,no,yes,clear,12.9,16.6,62.6,6.8,3940
2011-12-03,winter,no,no,clear,12.3,15.5,61.3,6.4,3614
2011-12-04,winter,no,no,clear,13.6,17.5,77.6,5.6,3485
2011-12-05,winter,no,yes,misty,15.8,19.7,82.7,4.2,3811
2011-12-06,winter,no,yes,light rain or snow,19.0,22.8,95.0,15.6,2594
2011-12-07,winter,no,yes,light rain or snow,16.8,20.0,97.0,17.8,705
2011-12-08,winter,no,yes,clear,10.9,12.8,58.0,16.1,3322
2011-12-09,winter,no,yes,clear,11.9,15.9,69.6,5.5,3620
2011-12-10,winter,no,no,clear,11.3,13.3,50.7,15.6,3190
2011-12-11,winter,no,no,clear,9.1,12.7,49.0,4.5,2743
2011-12-12,winter,no,yes,clear,9.8,13.5,67.1,4.3,3310
2011-12-13,winter,no,yes,clear,11.6,15.1,59.0,9.4,3523
2011-12-14,winter,no,yes,misty,13.0,16.9,66.4,4.1,3740
2011-12-15,winter,no,yes,misty,17.3,20.6,63.4,18.0,3709
2011-12-16,winter,no,yes,misty,15.4,18.0,50.0,17.5,3577
2011-12-17,winter,no,no,misty,10.6,12.5,56.1,16.3,2739
2011-12-18,winter,no,no,clear,9.8,12.3,58.6,11.4,2431
2011-12-19,winter,no,yes,clear,11.3,14.0,63.7,11.6,3403
2011-12-20,winter,no,yes,misty,15.8,19.8,59.5,4.1,3750
2011-12-21,spring,no,yes,misty,17.6,21.4,85.8,14.8,2660
2011-12-22,spring,no,yes,misty,17.4,21.3,75.8,3.2,3068
2011-12-23,spring,no,yes,clear,15.3,18.9,68.6,18.4,2209
2011-12-24,spring,no,no,clear,12.4,15.0,54.2,12.8,1011
2011-12-25,spring,no,no,clear,11.3,14.0,68.1,10.4,754
2011-12-26,spring,yes,no,clear,13.2,15.8,50.7,16.0,1317
2011-12-27,spring,no,yes,misty,13.3,16.4,76.2,12.6,1162
2011-12-28,spring,no,yes,clear,12.3,14.0,50.4,19.7,2302
2011-12-29,spring,no,yes,clear,10.2,13.2,57.4,8.0,2423
2011-12-30,spring,no,yes,clear,12.8,15.9,63.7,9.0,2999
2011-12-31,spring,no,no,clear,16.8,20.7,61.6,14.8,2485
2012-01-01,spring,no,no,clear,15.2,18.8,69.2,12.9,2294
2012-01-02,spring,yes,no,clear,11.2,12.6,38.1,22.1,1951
2012-01-03,spring,no,yes,clear,6.1,6.3,44.1,24.5,2236
2012-01-04,spring,no,yes,misty,4.4,6.0,41.5,12.4,2368
2012-01-05,spring,no,yes,clear,10.9,13.9,52.4,8.7,3272
2012-01-06,spring,no,yes,clear,13.7,17.0,54.2,11.2,4098
2012-01-07,spring,no,no,clear,16.1,19.5,53.2,11.7,4521
2012-01-08,spring,no,no,clear,13.8,17.0,46.5,12.8,3425
2012-01-09,spring,no,yes,misty,9.2,12.4,70.2,6.6,2376
2012-01-10,spring,no,yes,clear,12.7,15.9,64.7,12.6,3598
2012-01-11,spring,no,yes,misty,11.2,14.1,84.8,8.8,2177
2012-01-12,spring,no,yes,misty,15.7,19.1,80.3,12.1,4097
